SRR12873300	SRR128733001	SRR12873301	SRR128733011	SRR12873302	SRR128733021	SRR12873303	SRR128733031	SRR12873304	SRR128733041	SRR12873305	SRR128733051	SRR12873306	SRR128733061	SRR12873307	SRR128733071	SRR12873308	SRR128733081	SRR12873309	SRR128733091	SRR12873310	SRR128733101	SRR12873311	SRR128733111	SRR12873312	SRR128733121	SRR12873313	SRR128733131	SRR12873314	SRR128733141	SRR12873315	SRR128733151	SRR12873316	SRR128733161	SRR12873317	SRR128733171	SRR12873318	SRR128733181	SRR12873319	SRR128733191	SRR12873320	SRR128733201	SRR12873321	SRR128733211	SRR12873322	SRR128733221	SRR12873323	SRR128733231	SRR12873324	SRR128733241	SRR12873325	SRR128733251	SRR12873326	SRR128733261	SRR12873327	SRR128733271	SRR12873328	SRR128733281
ASV_0059	66	66	73	73	49	49	115	115	405	405	50	50	227	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006	1006	0	0	108	108	0	0	70	70	35	35	56	56	71	71	0	0	147	147	399	399	94	94	32	32
ASV_0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1707	1707	125	125	0	0	1133	1133	0	0	0	0	18	18	0	0	0	0	0	0	0	0
ASV_0061	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1630	1630	88	88	0	0	1214	1214	0	0	0	0	20	20	0	0	0	0	0	0	0	0
ASV_0062	0	0	0	0	0	0	337	337	1512	1512	234	234	222	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	364	0	0	24	24	0	0	0	0	0	0	0	0	0	0	60	60	0	0
ASV_0063	73	73	0	0	37	37	369	369	169	169	49	49	149	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	211	0	0	10	10	9	9	11	11	6	6	751	751	135	135	8	8	2	2	209	209	283	283	238	238
ASV_0064	0	0	0	0	0	0	1945	1945	219	219	28	28	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	55	0	0	34	34	4	4	0	0	0	0	0	0	149	149	0	0	153	153	0	0	0	0	0	0
ASV_0065	200	200	620	620	874	874	0	0	0	0	336	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	460	0	0	9	9	0	0	0	0	0	0	0	0	65	65	0	0	0	0
ASV_0066	29	29	80	80	643	643	0	0	0	0	571	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1213	1213	0	0	15	15	0	0	0	0	0	0
ASV_0067	7	7	0	0	66	66	0	0	0	0	37	37	479	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	567	1041	1041	0	0	0	0	81	81	34	34
ASV_0068	35	35	0	0	0	0	127	127	62	62	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	271	0	0	67	67	33	33	0	0	0	0	0	0	0	0	304	304	1248	1248	0	0	0	0	0	0
